しらせ 知らせ
しゃれ しゃれ
こわれ 壊れ
がんば 頑張
かんがえ 考え
かたづけ 片づけ
あたため 暖め
わくわく わくわく
れんらく 連絡
はつばい 発売
ほうこく 報告
ゆにゅう 輸入
ぼんやり ぼんやり
やくそく 約束
ほうもん 訪問
ほうそう 放送
はつめい 発明
ふきゅう 普及
びっくり びっくり
はらはら はらはら
はっそう 発送
はつげん 発言
はっけん 発見
はいけん 拝見
どきどき どきどき
ていあん 提案
ちょきん 貯金
チェック チェック
ちゅうい 注意
たんとう 担当
たいざい 滞在
フリーズ フリーズ
そうたい 早退
せんれん 洗練
せんたく 洗濯
せってい 設定
せつぞく 接続
せいぞう 製造
せいさん 生産
スケッチ スケッチ
しんぱい 心配
しょくじ 食事
もちかえ 持ち帰り
しょうち 承知
シュート シュートします
めしあが 召し上が
せいこう 成功
しっぱい 失敗
じつげん 実現
じっかん 実感
じしょく 辞職
ごちそう ごちそう
けんとう 検討
けっせき 欠席
けっこん 結婚
けいけん 経験
かんせい 完成
がっかり がっかり
そうだん 相談
かんしゃ 感謝
かんさん 換算
かんげい 歓迎
おもいだ 思い出
かいもの 買い物
かいはつ 開発
かいつう 開通
かいちく 改築
おじゃま お邪魔
えんりょ 遠慮
えんそう 演奏
おっしゃ おっしゃ
うんどう 運動
うっとり うっとり
いらいら いらいら
あんしん 安心
くりかえ 繰り返
とりかえ 取り替え
たしかめ 確かめ
さしあげ 差し上げ
れんしゅう 練習
りゅうこう 流行
ゆうしょう 優勝
おいでにな おいでにな
べんきょう 勉強
ふくしゅう 復習
にゅうしゃ 入社
にゅうがく 入学
にゅういん 入院
てんしょく 転職
ていしゅつ 提出
つまみぐい つまみ食い
ちょっこう 直行
ぞんじてい 存じてい
しょうかい 紹介
しゅっぱつ 出発
しゅっせき 出席
しゅっきん 出勤
じゅうたい 渋滞します
ざんぎょう 残業
ごらんにな ご覧にな
けんきゅう 研究
きんちょう 緊張
きゅうけい 休憩
かんびょう 看病
がいしゅつ 外出
いらっしゃ いらっしゃ
あまやどり 雨宿り
ライトアップ ライトアップ
チェックイン チェックイン
しゅつじょう 出場
きゅうしょく 休職
